UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
C0F002616B2A4A8683618C83406637AA,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,06/11/2023,3940.53,PUE,30/11/2023,MXN
C079669CA0C04CFB8F4E0DB5D6B1C2B8,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,28/02/2023,5164.68,PUE,No definido,MXN
C069116620CE4FE6BDFB8FBFFF8455D2,C**** S****S****,CSS010101**0,P****,PAD010101**3,,30/08/2023,2411.65,PUE,No definido,MXN
BFF87D17850B4D7C861992533A5CFAFC,C**** S****S****,CSS010101**0,G****,GLO010101**1,,06/11/2023,1641.4,PPD,No definido,MXN
BF6CC76F4D2B46A58A5FB19A7292B4C1,C**** S****S****,CSS010101**0,G****,GLO010101**1,,14/07/2023,34905.94,PPD,No definido,MXN
BF04D4AE52054AC6B141F178A132D130,C**** S****S****,CSS010101**0,O**** C****C****,OCC010101**7,,26/10/2023,4986.84,PUE,No definido,MXN
BCF2A4DD8B5E47229279ACBBAD3F95EE,C**** S****S****,CSS010101**0,P****,PAD010101**3,,29/06/2023,2177.04,PUE,No definido,MXN
BCEDA4B72BB041F4B092AE5C6852BCE0,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,,16/06/2023,5631.21,PUE,No definido,MXN
BAECDEC0D22945618E7B0515707A389E,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,31/05/2023,3111.6,PUE,No definido,MXN
BA9F42EED10143BC94B8B0152F3BF54B,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,15/08/2023,155062.7,PUE,No definido,MXN
BA92DB3E1A344C8CAC95C7A735872C50,C**** S****S****,CSS010101**0,G****,GLO010101**1,,06/09/2023,34482.54,PPD,No definido,MXN
B9DBB6D2D99046A4B2D5E0A0B04710D7,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,18/04/2023,3111.6,PUE,No definido,MXN
B9A6CE5F59E3473690A6A91324CA5AF3,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,,15/07/2023,829.76,PUE,No definido,MXN
B94FBE544433413DA54FF5E3EC5BDA45,C**** S****S****,CSS010101**0,C**** &****C****,CAC010101**3,,03/11/2023,54256.71,PUE,30/11/2023,MXN
B7FCA1EAC8224FCEBA5ADB486736276E,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,15/03/2023,16491.13,PUE,No definido,MXN
B7BCB617CBBB4D11AD6BAF80D5309083,C**** S****S****,CSS010101**0,T**** E****E****,TEE010101**0,,29/06/2023,125224.71,PUE,No definido,MXN
B6F8FBCF36C5467594244E8FAAF4EDD8,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,,28/02/2023,3111.6,PUE,No definido,MXN
B6C5EB9799A14D01B588E5BA245FEA9C,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,,16/05/2023,0,PUE,No definido,MXN
B5E7473F64FF461287B841451DA27AA6,C**** S****S****,CSS010101**0,D**** L****G****,GAC010101**2,,08/06/2023,95333.3,PUE,No definido,MXN
B5B0AEC7F1D64DAFAAB04552F4B432E4,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,30/06/2023,3111.6,PUE,No definido,MXN
B4F708C0D1FD4B4EA1666703BDBFFBA1,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,31/10/2023,20402.71,PPD,No definido,MXN
B4BB5535511D4C10928BAB504DEA4B7A,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,14/04/2023,47265.48,PUE,No definido,MXN
